timestamp,local,members,successor,queue_size,last_token_seen,last_event
2026-06-18 15:40:55,B,A -> B,A,0,7384.812,SEND_TOKEN
2026-06-18 15:40:55,B,A -> B,A,0,7385.812,RECV_TOKEN
2026-06-18 15:40:56,B,A -> B,A,0,7385.812,SEND_TOKEN
2026-06-18 15:40:56,B,A -> B,A,0,7386.812,RECV_TOKEN
2026-06-18 15:40:57,B,A -> B,A,0,7386.812,SEND_TOKEN
2026-06-18 15:40:57,B,A -> B,A,0,7387.812,RECV_TOKEN
2026-06-18 15:40:58,B,A -> B,A,0,7387.812,SEND_TOKEN
2026-06-18 15:40:58,B,A -> B,A,0,7388.812,RECV_TOKEN
2026-06-18 15:40:59,B,A -> B,A,0,7388.812,SEND_TOKEN
2026-06-18 15:40:59,B,A -> B,A,0,7389.828,RECV_TOKEN
2026-06-18 15:41:00,B,A -> B,A,0,7389.828,SEND_TOKEN
2026-06-18 15:41:00,B,A -> B,A,0,7390.828,RECV_TOKEN
2026-06-18 15:41:01,B,A -> B,A,0,7390.828,SEND_TOKEN
2026-06-18 15:41:01,B,A -> B,A,0,7391.828,RECV_TOKEN
2026-06-18 15:41:02,B,A -> B,A,0,7391.828,SEND_TOKEN
2026-06-18 15:41:02,B,A -> B,A,1,7391.828,QUEUE_ADD
2026-06-18 15:41:02,B,A -> B,A,1,7392.828,RECV_TOKEN
2026-06-18 15:41:03,B,A -> B,A,1,7392.828,SEND_DATA
2026-06-18 15:41:03,B,A -> B,A,0,7392.828,BCAST_DONE
2026-06-18 15:41:03,B,A -> B,A,0,7392.828,SEND_TOKEN
2026-06-18 15:41:03,B,A -> B,A,0,7393.828,RECV_TOKEN
2026-06-18 15:41:04,B,A -> B,A,0,7393.828,SEND_TOKEN
2026-06-18 15:41:04,B,A -> B,A,0,7394.828,RECV_TOKEN
2026-06-18 15:41:05,B,A -> B,A,0,7394.828,SEND_TOKEN
2026-06-18 15:41:05,B,A -> B,A,0,7395.828,RECV_TOKEN
2026-06-18 15:41:06,B,A -> B,A,0,7395.828,SEND_TOKEN
2026-06-18 15:41:06,B,A -> B,A,0,7396.828,RECV_TOKEN
2026-06-18 15:41:07,B,A -> B,A,0,7396.828,SEND_TOKEN
2026-06-18 15:41:07,B,A -> B,A,0,7397.828,RECV_TOKEN
2026-06-18 15:41:08,B,A -> B,A,0,7397.828,SEND_TOKEN
2026-06-18 15:41:08,B,A -> B,A,0,7398.828,RECV_TOKEN
2026-06-18 15:41:09,B,A -> B,A,0,7398.828,SEND_TOKEN
2026-06-18 15:41:09,B,A -> B,A,0,7399.828,RECV_TOKEN
2026-06-18 15:41:10,B,A -> B,A,0,7399.828,SEND_TOKEN
2026-06-18 15:41:10,B,A -> B,A,0,7400.828,RECV_TOKEN
2026-06-18 15:41:11,B,A -> B,A,0,7400.828,SEND_TOKEN
2026-06-18 15:41:11,B,A -> B,A,0,7401.828,RECV_TOKEN
2026-06-18 15:41:12,B,A -> B,A,0,7401.828,SEND_TOKEN
2026-06-18 15:41:12,B,A -> B,A,0,7402.828,RECV_TOKEN
2026-06-18 15:41:13,B,A -> B,A,0,7402.828,SEND_TOKEN
2026-06-18 15:41:13,B,A -> B,A,0,7403.828,RECV_TOKEN
2026-06-18 15:41:14,B,A -> B,A,0,7403.828,SEND_TOKEN
2026-06-18 15:41:14,B,A -> B,A,0,7404.828,RECV_TOKEN
2026-06-18 15:41:15,B,A -> B,A,0,7404.828,SEND_TOKEN
2026-06-18 15:41:15,B,A -> B,A,0,7405.828,RECV_TOKEN
2026-06-18 15:41:16,B,A -> B,A,0,7405.828,SEND_TOKEN
2026-06-18 15:41:16,B,A -> B,A,0,7406.828,RECV_TOKEN
2026-06-18 15:41:17,B,A -> B,A,0,7406.828,SEND_TOKEN
2026-06-18 15:41:17,B,A -> B,A,0,7407.843,RECV_TOKEN
2026-06-18 15:41:18,B,A -> B,A,0,7407.843,SEND_TOKEN
2026-06-18 15:41:18,B,A -> B,A,0,7408.843,RECV_TOKEN
2026-06-18 15:41:19,B,A -> B,A,0,7408.843,SEND_TOKEN
2026-06-18 15:41:19,B,A -> B,A,0,7409.843,RECV_TOKEN
2026-06-18 15:41:20,B,A -> B,A,0,7409.843,SEND_TOKEN
2026-06-18 15:41:20,B,A -> B,A,0,7410.843,RECV_TOKEN
2026-06-18 15:41:21,B,A -> B,A,0,7410.843,SEND_TOKEN
2026-06-18 15:41:21,B,A -> B,A,0,7411.843,RECV_TOKEN
2026-06-18 15:41:22,B,A -> B,A,0,7411.843,SEND_TOKEN
2026-06-18 15:41:22,B,A -> B,A,0,7412.843,RECV_TOKEN
2026-06-18 15:41:23,B,A -> B,A,0,7412.843,SEND_TOKEN
2026-06-18 15:41:23,B,A -> B,A,0,7413.843,RECV_TOKEN
2026-06-18 15:41:24,B,A -> B,A,0,7413.843,SEND_TOKEN
2026-06-18 15:41:24,B,A -> B,A,0,7414.843,RECV_TOKEN
2026-06-18 15:41:25,B,A -> B,A,0,7414.843,SEND_TOKEN
2026-06-18 15:41:25,B,A -> B,A,0,7415.843,RECV_TOKEN
2026-06-18 15:41:26,B,A -> B,A,0,7415.843,SEND_TOKEN
2026-06-18 15:41:26,B,A -> B,A,0,7416.843,RECV_TOKEN
2026-06-18 15:41:27,B,A -> B,A,0,7416.843,SEND_TOKEN
2026-06-18 15:41:27,B,A -> B,A,0,7417.843,RECV_TOKEN
2026-06-18 15:41:28,B,A -> B,A,0,7417.843,SEND_TOKEN
2026-06-18 15:41:28,B,A -> B,A,0,7418.843,RECV_TOKEN
2026-06-18 15:41:29,B,A -> B,A,0,7418.843,SEND_TOKEN
2026-06-18 15:41:29,B,A -> B,A,0,7419.843,RECV_TOKEN
2026-06-18 15:41:30,B,A -> B,A,0,7419.843,SEND_TOKEN
2026-06-18 15:41:30,B,A -> B,A,0,7420.843,RECV_TOKEN
2026-06-18 15:41:31,B,A -> B,A,0,7420.843,SEND_TOKEN
