timestamp,local,event,type,direction,src,dst,control,crc,message_preview,next_hop_ip,next_hop_port
2026-06-18 15:40:42,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:42,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:43,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:43,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:44,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:44,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:45,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:45,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:46,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:46,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:47,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:47,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:48,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:48,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:49,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:49,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:50,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:50,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:51,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:51,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:52,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:52,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:53,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:53,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:54,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:54,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:55,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:55,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:56,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:56,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:57,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:57,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:58,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:58,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:59,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:59,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:00,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:00,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:01,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:01,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:02,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:02,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:03,B,SEND_DATA,2000,OUT,B,BROADCAST,maquinainexistente,1624876636,teste broadcast,192.168.0.218,6001
2026-06-18 15:41:03,B,RECV_DATA,2000,IN,B,BROADCAST,maquinainexistente,1624876636,teste broadcast,,
2026-06-18 15:41:03,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:03,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:04,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:04,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:05,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:05,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:06,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:06,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:07,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:07,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:08,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:08,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:09,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:09,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:10,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:10,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
